аэропорты;аэропОрты;"аЭропорты;аэропортЫ;аэрОпорты;Аэропорты"
сосредоточение;сосредотОчение;"сосредоточЕние;сОсредоточение;сосрЕдоточение;сосредОточение;сосредоточениЕ;сосредоточенИе"
средства;срЕдства;средствА
статуя;стАтуя;"статУя;статуЯ"
столяр;столЯр;стОляр
таможня;тамОжня;"тАможня;таможнЯ"
торты;тОрты;тортЫ
туфля;тУфля;туфлЯ
цемент;цемЕнт;цЕмент
центнер;цЕнтнер;центнЕр
цепочка;цепОчка;"цепочкА;цЕпочка"
шарфы;шАрфы;шарфЫ
шофёр;шофЁр;шОфёр
эксперт;экспЕрт;Эксперт
верна;вернА;вЕрна
значимый;знАчимый;"значИмый;значимЫй"
кухонный;кУхонный;"кухоннЫй;кухОнный"
ловка;ловкА;лОвка
мозаичный;мозаИчный;"мОзаичный;мозаичнЫй;мозАичный"
оптовый;оптОвый;"оптовЫй;Оптовый"
прозорливый;прозорлИвый;"прозорливЫй;прОзорливый;прозОрливый"
прозорлива;прозорлИва;"прозорливА;прозОрлива;прОзорлива"
сливовый;слИвовый;"сливовЫй;сливОвый"
брала;бралА;брАла
бралась;бралАсь;брАлась
взяла;взялА;взЯла
взялась;взялАсь;взЯлась
влилась;влилАсь;влИлась
ворвалась;ворвалАсь;"ворвАлась;вОрвалась"
воспринять;воспринЯть;"вОспринять;воспрИнять"
восприняла;воспринялА;"воспрИняла;вОсприняла;воспринЯла"
воссоздала;воссоздалА;"вОссоздала;воссОздала;воссоздАла"
вручит;вручИт;врУчит
гнала;гналА;гнАла
гналась;гналАсь;гнАлась
добрала;добралА;"дОбрала;добрАла"
добралась;добралАсь;"добрАлась;дОбралась"
дождалась;дождалАсь;"дождАлась;дОждалась"
дозвонится;дозвонИтся;"дозвОнится;дОзвонится;дозвонитсЯ"
дозировать;дозИровать;"дОзировать;дозирОвать;дозировАть"
ждала;ждалА;ждАла
жилось;жилОсь;жИлось
закупорить;закУпорить;"закупОрить;зАкупорить;закупорИть"
занять;занЯть;зАнять
занял;зАнял;занЯл
заняла;занялА;"занЯла;зАняла"
заняли;зАняли;"занЯли;занялИ"
заперла;заперлА;"зАперла;запЕрла"
запломбировать;запломбировАть;"зАпломбировать;заплОмбировать;запломбирОвать;запломбИровать"
защемит;защемИт;"зАщемит;защЕмит"
звала;звалА;звАла
звонит;звонИт;звОнит
кашлянуть;кАшлянуть;"кашлянУть;кашлЯнуть"
клала;клАла;клалА
клеить;клЕить;клеИть
кралась;крАлась;кралАсь
кровоточить;кровоточИть;"крОвоточить;кровОточить;кровотОчить"
лгала;лгалА;лгАла
лила;лилА;лИла
лилась;лилАсь;лИлась
наврала;навралА;"наврАла;нАврала"
наделит;наделИт;"нАделит;надЕлит"
надорвалась;надорвалАсь;"надОрвалась;нАдорвалась;надорвАлась"
назвалась;назвалАсь;"нАзвалась;назвАлась"
накренится;накренИтся;"нАкренится;накренитсЯ;накрЕнится"
налила;налилА;"налИла;нАлила"
нарвала;нарвалА;"нАрвала;нарвАла"
начать;начАть;нАчать
начал;нАчал;начАл
начала;началА;"нАчала;начАла"
начали;нАчали;"началИ;начАли"
обзвонит;обзвонИт;"обзвОнит;Обзвонит"
облегчить;облегчИть;"облЕгчить;Облегчить"
облегчит;облегчИт;"облЕгчит;Облегчит"
облилась;облилАсь;"Облилась;облИлась"
обнялась;обнялАсь;"Обнялась;обнЯлась"
обогнала;обогналА;"обогнАла;Обогнала;обОгнала"
ободрала;ободралА;"Ободрала;обОдрала;ободрАла"
ободрить;ободрИть;"Ободрить;обОдрить"
ободрит;ободрИт;"обОдрит;Ободрит"
ободриться;ободрИться;"Ободриться;обОдриться;ободритьсЯ"
обострить;обострИть;"Обострить;обОстрить"
одолжить;одолжИть;"Одолжить;одОлжить"
одолжит;одолжИт;"одОлжит;Одолжит"
озлобить;озлОбить;"озлобИть;Озлобить"
оклеить;оклЕить;"Оклеить;оклеИть"
окружит;окружИт;"Окружит;окрУжит"
опошлить;опОшлить;"Опошлить;опошлИть"
осведомиться;освЕдомиться;"Осведомиться;осведОмиться;осведомитьсЯ;осведомИться"
отбыла;отбылА;"отбЫла;Отбыла"
отдала;отдалА;"Отдала;отдАла"
откупорить;откУпорить;"откупОрить;Откупорить;откупорИть"
отозвала;отозвалА;"Отозвала;отозвАла;отОзвала"
отозвалась;отозвалАсь;"отОзвалась;Отозвалась;отозвАлась"
перезвонит;перезвонИт;"перЕзвонит;пЕрезвонит;перезвОнит"
перелила;перелилА;"перЕлила;пЕрелила;перелИла"
плодоносить;плодоносИть;"плодОносить;плодонОсить;плОдоносить"
пломбировать;пломбировАть;"плОмбировать;пломбирОвать;пломбИровать"
повторит;повторИт;"повтОрит;пОвторит"
позвала;позвалА;"позвАла;пОзвала"
позвонит;позвонИт;"позвОнит;пОзвонит"
полила;полилА;"пОлила;полИла"
положить;положИть;"полОжить;пОложить"
положил;положИл;"полОжил;пОложил"
понять;понЯть;пОнять
поняла;понялА;"понЯла;пОняла"
послала;послАла;"пОслала;послалА"
прибыл;прИбыл;прибЫл
прибыла;прибылА;"прИбыла;прибЫла"
прибыли;прИбыли;"прибЫли;прибылИ"
принять;принЯть;прИнять
принял;прИнял;принЯл
приняла;принялА;"принЯла;прИняла"
приняли;прИняли;"принЯли;принялИ"
рвала;рвалА;рвАла
сверлит;сверлИт;свЕрлит
сняла;снялА;снЯла
соврала;совралА;"сОврала;соврАла"
создала;создалА;"создАла;сОздала"
сорвала;сорвалА;"сОрвала;сорвАла"
сорит;сорИт;сОрит
убрала;убралА;"убрАла;Убрала"
углубить;углубИть;"углУбить;Углубить"
укрепит;укрепИт;"Укрепит;укрЕпит"
черпать;чЕрпать;черпАть
щемит;щемИт;щЕмит
щёлкать;щЁлкать;щёлкАть
довезённый;довезЁнный;"дОвезённый;довезённЫй;довЕзённый"
загнутый;зАгнутый;"загнУтый;загнутЫй"
занятый;зАнятый;"занЯтый;занятЫй"
занята;занятА;"занЯта;зАнята"
запертый;зАпертый;"запертЫй;запЕртый"
заселённый;заселЁнный;"заселённЫй;засЕлённый;зАселённый"
заселена;заселенА;"засЕлена;зАселена;заселЕна"
кормящий;кормЯщий;"кОрмящий;кормящИй"
кровоточащий;кровоточАщий;"кровотОчащий;кровОточащий;крОвоточащий;кровоточащИй"
наживший;нажИвший;"нажившИй;нАживший"
наливший;налИвший;"нАливший;налившИй"
начавший;начАвший;"начавшИй;нАчавший"
начатый;нАчатый;"начатЫй;начАтый"
низведённый;низведЁнный;"низведённЫй;низвЕдённый;нИзведённый"
облегчённый;облегчЁнный;"облЕгчённый;Облегчённый;облегчённЫй"
ободрённый;ободрЁнный;"обОдрённый;Ободрённый;ободрённЫй"
обострённый;обострЁнный;"обОстрённый;обострённЫй;Обострённый"
отключённый;отключЁнный;"отклЮчённый;Отключённый;отключённЫй"
повторённый;повторЁнный;"пОвторённый;повтОрённый;повторённЫй"
поделённый;поделЁнный;"поделённЫй;подЕлённый;пОделённый"
понявший;понЯвший;"понявшИй;пОнявший"
принятый;прИнятый;"принятЫй;принЯтый"
принята;принятА;"прИнята;принЯта"
приручённый;приручЁнный;"прИручённый;прирУчённый;приручённЫй"
снята;снятА;снЯта
согнутый;сОгнутый;"согнутЫй;согнУтый"
углублённый;углублЁнный;"Углублённый;углублённЫй;углУблённый"
закупорив;закУпорив;"зАкупорив;закупорИв;закупОрив"
начав;начАв;нАчав
начавшись;начАвшись;"начавшИсь;нАчавшись"
отдав;отдАв;Отдав
подняв;поднЯв;пОдняв
поняв;понЯв;пОняв
прибыв;прибЫв;прИбыв
создав;создАв;сОздав
вовремя;вОвремя;"вовремЯ;воврЕмя"
доверху;дОверху;"доверхУ;довЕрху"
донельзя;донЕльзя;"дОнельзя;донельзЯ"
донизу;дОнизу;"донИзу;донизУ"
досуха;дОсуха;"досухА;досУха"
засветло;зАсветло;"засвЕтло;засветлО"
затемно;зАтемно;"затЕмно;затемнО"
красивее;красИвее;"красивеЕ;крАсивее;красивЕе"
надолго;надОлго;"надолгО;нАдолго"
ненадолго;ненадОлго;"ненадолгО;нЕнадолго;ненАдолго"
