be;was/were been;"been been;be be;bought bought";been been;be be;bought bought;;was/were;been
set;set set;"sought sought;sed sed;said said";sought sought;sed sed;said said;;set;set
shake;shook shaken;"shook shooken;shake shaken;shook shook";shook shooken;shake shaken;shook shook;;shook;shaken
shave;shaved shaven;"shoove shaven;shift shift;shift shave";shoove shaven;shift shift;shift shave;;shaved;shaven
shine;shone shone;"shown showned;shown shown;shone shoned";shown showned;shown shown;shone shoned;;shone;shone
shoot;shot shot;"shote shoten;shought shought;shote shote";shote shoten;shought shought;shote shote;;shot;shot
show;showed shown;"shew shown;shew shew;show show";shew shown;shew shew;show show;;showed;shown
shut;shut shut;"shot shot;shoute shoute;shoute shouten";shot shot;shoute shoute;shoute shouten;;shut;shut
sing;sang sung;"sang sang;sank sunk;song song";sang sang;sank sunk;song song;;sang;sung
sink;sank sunk;"sang sung;sankt sankt;sank sank";sang sung;sankt sankt;sank sank;;sank;sunk
sit;sat sat;"seat seat;sest seaten;site sitten";seat seat;sest seaten;site sitten;;sat;sat
sleep;slept slept;"slep slep;slep slopen;slepd slepd";slep slep;slep slopen;slepd slepd;;slept;slept
smell;smelt smelt;"smoll smollen;smeld smeld;smell smellen";smoll smollen;smeld smeld;smell smellen;;smelt;smelt
speak;spoke spoken;"spoke spoke;spoke speaken;speak speaken";spoke spoke;spoke speaken;speak speaken;;spoke;spoken
speed;sped sped;"spet spet;spought spought;sped spidden";spet spet;spought spought;sped spidden;;sped;sped
spell;spelt spell;"spole spollen;spelt spelt;spell spell";spole spollen;spelt spelt;spell spell;;spelt;spell
spend;spent spent;"spend spend;spound spound;spound spounded";spend spend;spound spound;spound spounded;;spent;spent
spoil;spoilt spoilt;"spoiled spoiled;spilt spilt;spell spell";spoiled spoiled;spilt spilt;spell spell;;spoilt;spoilt
spread;spread spread;" spraed spread;sproud sproud;sproud sprouden"; spraed spread;sproud sproud;sproud sprouden;;spread;spread
stand;stood stood;"stant stant;stood stooden;stande sdood";stant stant;stood stooden;stande sdood;;stood;stood
steal;stole stolen;"stile stilen;stolt stolt;stole stole";stile stilen;stolt stolt;stole stole;;stole;stolen
strike;struck struck;"stroke striken;struckt struckt;struck strike";stroke striken;struckt struckt;struck strike;;struck;struck
swear;swore sworn;"sword sword;swore swore;swaer swear";sword sword;swore swore;swaer swear;;swore;sworn
sweep;swept swept;"swep swep;swep swopen;swope swopen";swep swep;swep swopen;swope swopen;;swept;swept
swim;swam swum;"swam swam;swum swum;swam swimen";swam swam;swum swum;swam swimen;;swam;swum
take;took taken;"took tooken;take taken;took take";took tooken;take taken;took take;;took;taken
teach;taught taught;"tought tought;taech teach;taut taut";tought tought;taech teach;taut taut;;taught;taught
tell;told told;"telt telt;toll tollen;tell tell";telt telt;toll tollen;tell tell;;told;told
think;thought thought;"thout thout;thout thought;thank thinken";thout thout;thout thought;thank thinken;;thought;thought
throw;threw thrown;"threw threwn;throught throught;thre trought";threw threwn;throught throught;thre trought;;threw;thrown
understand;understood understood;"understant understant;stood stooden;understand understood";understant understant;stood stooden;understand understood;;understood;understood
upset;upset upset;"upsought upsought;upsed upsed;upsaid upsaid";upsought upsought;upsed upsed;upsaid upsaid;;upset;upset
wake;woke woken;"woke woke;wake wake;wake woken";woke woke;wake wake;wake woken;;woke;woken
wear;wore worn;"word word;wore wore;waer wear";word word;wore wore;waer wear;;wore;worn
wed;wed wed;"wet wet;wad wedded;wought wought";wet wet;wad wedded;wought wought;;wed;wed
wet;wet wet;"wed wed;wait wait;wought wought";wed wed;wait wait;wought wought;;wet;wet
win;won won;"wone woned;win win;wought wought";wone woned;win win;wought wought;;won;won
write;wrote written;"wrote wrotten;write written;wrote wrote";wrote wrotten;write written;wrote wrote;;wrote;written
